Lower,Upper,ExpirationPut,ExpirationCall,Capital,MaxLossPLUnRealized,MaxLossPLRealized
0.0,0.1,19,6L,7307.0,-10809.0,-6433.0
0.0,0.1,19,87L,14300.0,-10382.0,-6344.0
0.0,0.1,230,11L,8151.0,-8310.0,-7605.0
0.0,0.1,230,142L,9196.0,-8682.0,-4642.0
0.0,0.1,230,19L,8957.0,-8310.0,-7456.0
0.0,0.1,230,230L,5307.0,-9625.0,-5526.0
0.0,0.1,230,32L,8963.0,-8309.0,-7191.0
0.0,0.1,230,372L,6567.0,-8346.0,-2602.0
0.0,0.1,230,3L,6484.0,-8309.0,-8022.0
0.0,0.1,230,53L,9054.0,-8312.0,-7057.0
0.0,0.1,230,6L,6348.0,-8308.0,-7894.0
0.0,0.1,230,87L,13054.0,-8682.0,-3948.0
0.0,0.1,32,11L,9436.0,-10411.0,-5776.0
0.0,0.1,32,142L,8363.0,-10863.0,-7089.0
0.0,0.1,32,19L,12073.0,-10593.0,-5806.0
0.0,0.1,32,230L,15655.0,-10782.0,-6159.0
0.0,0.1,32,32L,10073.0,-10205.0,-5241.0
0.0,0.1,32,372L,8925.0,-9939.0,-89.0
0.0,0.1,32,3L,8419.0,-9775.0,-6433.0
0.0,0.1,32,53L,12627.0,-10315.0,-7457.0
0.0,0.1,32,6L,7903.0,-9775.0,-6433.0
0.0,0.1,32,87L,14288.0,-10401.0,-6344.0
0.0,0.1,372,11L,8142.0,-8482.0,-6682.0
0.0,0.1,372,142L,8676.0,-8482.0,-4442.0
0.0,0.1,372,19L,9131.0,-8482.0,-5723.0
0.0,0.1,372,230L,9010.0,-8482.0,-3859.0
0.0,0.1,372,32L,9320.0,-8482.0,-5318.0
0.0,0.1,372,372L,9326.0,-8546.0,-2802.0
0.0,0.1,372,3L,8286.0,-8544.0,-7087.0
0.0,0.1,372,53L,9634.0,-8482.0,-5126.0
0.0,0.1,372,6L,8005.0,-8502.0,-6938.0
0.0,0.1,372,87L,11066.0,-8482.0,-3748.0
0.0,0.1,3,11L,256.0,-990.0,-46.0
0.0,0.1,3,142L,12570.0,-11182.0,-7142.0
0.0,0.1,3,19L,8285.0,-10780.0,-6006.0
0.0,0.1,3,230L,12084.0,-9625.0,-5526.0
0.0,0.1,3,32L,12879.0,-10382.0,-4564.0
0.0,0.1,3,372L,9814.0,-8546.0,-2802.0
0.0,0.1,3,3L,681.0,-875.0,0.0
0.0,0.1,3,53L,11784.0,-10414.0,-6391.0
0.0,0.1,3,6L,397.0,-1029.0,-195.0
0.0,0.1,3,87L,11935.0,-10882.0,-6148.0
0.0,0.1,53,11L,14663.0,-9638.0,-4645.0
0.0,0.1,53,142L,9446.0,-10882.0,-6842.0
0.0,0.1,53,19L,12375.0,-10411.0,-4803.0
0.0,0.1,53,230L,7726.0,-9168.0,-5744.0
0.0,0.1,53,32L,10936.0,-9638.0,-4194.0
0.0,0.1,53,372L,3771.0,-10573.0,-4376.0
0.0,0.1,53,3L,13731.0,-9638.0,-4932.0
0.0,0.1,53,53L,13642.0,-10014.0,-6391.0
0.0,0.1,53,6L,9292.0,-10209.0,-5833.0
0.0,0.1,53,87L,12164.0,-10074.0,-6044.0
0.0,0.1,6,11L,5518.0,-10811.0,-6176.0
0.0,0.1,6,142L,14115.0,-10300.0,-5984.0
0.0,0.1,6,19L,6506.0,-10793.0,-6006.0
0.0,0.1,6,230L,8515.0,-8682.0,-4059.0
0.0,0.1,6,32L,13306.0,-10105.0,-7381.0
0.0,0.1,6,372L,9992.0,-8546.0,-2802.0
0.0,0.1,6,3L,796.0,-875.0,0.0
0.0,0.1,6,53L,11018.0,-10214.0,-6291.0
0.0,0.1,6,6L,428.0,-1079.0,-245.0
0.0,0.1,6,87L,11788.0,-10782.0,-6048.0
0.0,0.1,87,11L,10893.0,-9829.0,-4045.0
0.0,0.1,87,142L,10252.0,-9829.0,-6384.0
0.0,0.1,87,19L,9059.0,-9829.0,-4310.0
0.0,0.1,87,230L,5803.0,-9829.0,-5644.0
0.0,0.1,87,32L,8374.0,-9829.0,-7446.0
0.0,0.1,87,372L,5544.0,-9829.0,-2019.0
0.0,0.1,87,3L,9984.0,-9829.0,-4332.0
0.0,0.1,87,53L,10103.0,-9829.0,-7457.0
0.0,0.1,87,6L,9706.0,-9829.0,-4575.0
0.0,0.1,87,87L,11049.0,-9974.0,-5944.0
0.0,0.2,11,11L,4828.0,-10800.0,-5705.0
0.0,0.2,11,142L,15367.0,-10537.0,-5042.0
0.0,0.2,11,19L,7889.0,-10791.0,-5735.0
